Course Code	Course Title	Units	Class #	Type	Days	Time	Location	Instructor	Seats Available	Comment
Course Code: WGSS 101	Course Title: GENDER, RACE, SEX AND THE BODY	Units: 3 Units	Class #: 3643	Course Type: LECTURE	 Days Available: 	 Times available: NA	Location: ONLINE-ONLY	 Professor: Baralt L	 Seats Available: No Seats Available Additional Info: Class instruction is: Asynch. Online-No Meet Times.Reserved Seats for Incoming Freshmen

Course Code: WGSS 101	Course Title: GENDER, RACE, SEX AND THE BODY	Units: 3 Units	Class #: 2422	Course Type: LECTURE	 Days Available: 	 Times available: NA	Location: ONLINE-ONLY	 Professor: Reed J	 Seats Available: No Seats Available Additional Info: Class instruction is: Asynch. Online-No Meet Times.

Course Code: WGSS 101	Course Title: GENDER, RACE, SEX AND THE BODY	Units: 3 Units	Class #: 2423	Course Type: LECTURE	 Days Available: 	 Times available: NA	Location: ONLINE-ONLY	 Professor: Reed J	 Seats Available: No Seats Available Additional Info: Class instruction is: Asynch. Online-No Meet Times.

Course Code: WGSS 101	Course Title: GENDER, RACE, SEX AND THE BODY	Units: 3 Units	Class #: 2424	Course Type: LECTURE	 Days Available: Monday Wednesday 	 Times available: 09:30AM-10:45AM	Location: LA1-204	 Professor: Youssef M	 Seats Available: No Seats Available Additional Info: Class instruction is: Face to Face - On Campus.

Course Code: WGSS 101	Course Title: GENDER, RACE, SEX AND THE BODY	Units: 3 Units	Class #: 2426	Course Type: LECTURE	 Days Available: Monday Wednesday 	 Times available: 02:00PM-03:15PM	Location: LA1-204	 Professor: Youssef M	 Seats Available: Seats Available Additional Info: Class instruction is: Face to Face - On Campus.

Course Code: WGSS 101	Course Title: GENDER, RACE, SEX AND THE BODY	Units: 3 Units	Class #: 2810	Course Type: LECTURE	 Days Available: Tuesday Thursday 	 Times available: 11:00AM-12:15PM	Location: LA1-204	 Professor: Rosendale K	 Seats Available: No Seats Available Additional Info: Class instruction is: Face to Face - On Campus.1 reserved seat for SA@B students

Course Code: WGSS 101	Course Title: GENDER, RACE, SEX AND THE BODY	Units: 3 Units	Class #: 3845	Course Type: LECTURE	 Days Available: Tuesday Thursday 	 Times available: 02:00PM-03:15PM	Location: LA1-204	 Professor: Rosendale K	 Seats Available: No Seats Available Additional Info: Class instruction is: Face to Face - On Campus.4 Reserved Seats for Study Abroad @ the Beach Students

Course Code: WGSS 102	Course Title: GENDER RACE SEX & SOCIETIES	Units: 3 Units	Class #: 4741	Course Type: LECTURE	 Days Available: Tuesday Thursday 	 Times available: 12:30PM-01:45PM	Location: LA1-204	 Professor: Macias S	 Seats Available: Seats Available Additional Info: Class instruction is: Face to Face - On Campus.3 Reserved Seats for Study Abroad @ the Beach Students

Course Code: WGSS 102	Course Title: GENDER RACE SEX & SOCIETIES	Units: 3 Units	Class #: 4743	Course Type: LECTURE	 Days Available: Monday Wednesday 	 Times available: 03:30PM-04:45PM	Location: LA1-204	 Professor: Youssef M	 Seats Available: Seats Available Additional Info: Class instruction is: Face to Face - On Campus.

Course Code: WGSS 205	Course Title: INTRODUCTION TO QUEER STUDIES	Units: 3 Units	Class #: 11174	Course Type: LECTURE	 Days Available: Tuesday Thursday 	 Times available: 05:00PM-06:15PM	Location: LA1-204	 Professor: Schwartz A	 Seats Available: Seats Available Additional Info: Class instruction is: Hybrid (Face to Face & Online).1 reserved seat for SA@B students

Course Code: WGSS 205	Course Title: INTRODUCTION TO QUEER STUDIES	Units: 3 Units	Class #: 	Course Type: 	 Days Available: 	 Times available: NA	Location: ONLINE-ONLY	 Professor: Schwartz A	 Seats Available: No Seats Available Additional Info: additional meeting detail

Course Code: WGSS 300	Course Title: FEMINIST THEORY	Units: 3 Units	Class #: 2427	Course Type: SEMINAR	 Days Available: Tuesday Thursday 	 Times available: 11:00AM-12:15PM	Location: LA1-307	 Professor: Koshy K	 Seats Available: Seats Available Additional Info: Class instruction is: Face to Face - On Campus.

Course Code: WGSS 301	Course Title: FEMINIST RESEARCH METHODS	Units: 3 Units	Class #: 5219	Course Type: SEMINAR	 Days Available: Tuesday 	 Times available: 03:30PM-06:15PM	Location: HC-106	 Professor: Basarudin A	 Seats Available: Seats Available Additional Info: Class instruction is: Face to Face - On Campus.

Course Code: WGSS 307	Course Title: US WOMEN & ECON-MONEY SEX PWR	Units: 3 Units	Class #: 6652	Course Type: LECTURE	 Days Available: Monday Wednesday 	 Times available: 11:00AM-12:15PM	Location: ONLINE-ONLY	 Professor: Tarrant S	 Seats Available: No Seats Available Additional Info: Class instruction is: Synch. Online - Meet Times.

Course Code: WGSS 307	Course Title: US WOMEN & ECON-MONEY SEX PWR	Units: 3 Units	Class #: 6653	Course Type: LECTURE	 Days Available: Tuesday Thursday 	 Times available: 09:30AM-10:45AM	Location: LA1-307	 Professor: Koshy K	 Seats Available: Seats Available Additional Info: Class instruction is: Face to Face - On Campus.

Course Code: WGSS 308	Course Title: GENDER, SEX, AND THE LAW	Units: 3 Units	Class #: 6103	Course Type: LECTURE	 Days Available: Monday Wednesday 	 Times available: 09:30AM-10:45AM	Location: ONLINE-ONLY	 Professor: Tarrant S	 Seats Available: Seats Available Additional Info: Class instruction is: Synch. Online - Meet Times.2 Reserved Seats for Study Abroad @ the Beach Students

Course Code: WGSS 316	Course Title: WOMEN IN HISTORY OF U.S. FILM	Units: 3 Units	Class #: 7548	Course Type: LECTURE	 Days Available: Tuesday 	 Times available: 09:30AM-10:45AM	Location: LA5-149	 Professor: Hidalgo M	 Seats Available: No Seats Available Additional Info: Class instruction is: Hybrid (Face to Face & Online).Class offered with FEA-317-01

